dept_id	emp_id	manager_id	emp_fname	emp_lname	city	start_date	zip_code	street	bene_health_ins	bene_life_ins	mydatetime	mydecimal	mytime
400	184	1576	Melissa	Espinoza	Stow	04/18/1988	01775    	112 Apple Tree Way	Y	Y	01/01/2000 10:10:10	45.3100	10:10:10
200	195	129	Marc	Dill	Milton	06/06/1988	02186    	89 Hancock Street	Y	Y	01/01/2000 10:10:10	45.3600	10:10:10
100	243	582	Natasha	Shishov	Waltham	12/06/1988	02154    	15 Milk Street 	Y	Y	01/01/2000 10:10:10	45.3800	10:10:10
100	249	582	Rodrigo	Guevara	Framingham	01/01/1999	01701    	East Main Street	Y	Y	01/01/2000 10:10:10	45.3000	10:10:10
100	278	582	Terry	Melkisetian	Watertown	06/05/1989	02172    	87 Oxford Road	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
100	316	582	Lynn	Pastor	Burlington	10/24/1989	01803    	14 Cricklewood Drive	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
300	390	1293	Jo Ann	Davidson	Needham	11/30/1989	02192    	27 Mount Vernon Road	N	Y	01/01/2000 10:10:10	45.3300	10:10:10
100	445	582	bbb	Lull	Concord	12/13/1989	01742    	199 Lincoln Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	467	129	James	Klobucher	Houston	01/07/1990	77079    	18 Corning Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
100	501	582	David	Scott	Belmont	02/01/1990	02178    	21 Riverdale Drive	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
300	586	1293	James	Coleman	Acton	10/04/1990	01720    	57 Heather Hill Drive	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
100	604	582	Albert	Wang	Waltham	03/30/1991	02154    	48 Edwin Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	667	129	Mary	Garcia	Houston	05/23/1991	77079    	98 Purvis Street	N	Y	01/01/2000 10:10:10	45.3300	10:10:10
500	703	902	Jose	Martinez	Westwood	06/01/1992	02090    	123 Washington Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
300	148	1293	Julie	Jordan	Winchester	10/04/1997	01890    	144 Great Plain Avenue	Y	Y	01/04/2000 10:10:10	45.3200	13:10:10
500	191	703	Jeannette	Bertrand	Acton	05/20/1990	01720    	209 Concord Street	Y	Y	01/01/2000 10:10:10	45.3500	10:10:10
400	207	1576	Jane	Francis	Concord	08/04/1995	01742    	12 Hawthorne Drive	Y	Y	01/01/2000 10:10:10	45.3700	10:10:10
100	247	582	aaa	Driscoll	Waltham	12/30/1996	02154	154 School Street	Y	Y	01/01/2000 10:10:10	45.3900	10:10:10
100	266	582	Ram	Gowda	Natick	05/30/1991	01760    	79 Page Street	N	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	299	129	Rollin	Overbey	Emeryville	08/19/1989	94608    	1915 Companion Ct.	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
400	318	1576	aaa	Crow	Watertown	11/20/1989	02172	531 Main Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
400	409	1576	Bruce	Weaver	Lexington	12/08/1989	02173    	19 Westmoreland Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
100	453	582	Andrew	Rabkin	Burlington	12/13/1989	01803    	44 Birds Hill Way	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
100	479	582	bbb	Siperstein	Newton	01/20/1990	02164    	341 Hillside Avenue	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
100	582	582	Peter	Samuels	Newton	09/21/1990	02164    	54 Woodlawn Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
400	591	1576	Irene	Barletta	Bedford	01/16/1991	01730    	37 Gleason Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	641	129	Thomas	Powell	Newton	04/14/1991	02162    	48 Kennedy Court	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	690	129	Kathleen	Poitras	Boston	05/29/1991	02118    	50 The Fenway	N	Y	01/01/2000 10:10:10	45.3300	10:10:10
500	750	703	Jane	Braun	Cambridge	07/04/1992	02140    	45 Wood Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
300	757	1293	Denis	Higgins	Lexington	08/24/1992	02173    	1033 Massachusetts Avenue	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
100	839	582	Dean	Marshall	Belmont	10/19/1992	02178    	44 Mount Pleasant Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	856	129	Samuel	Singer	Stow	11/30/1992	01775    	187 Orchard Road	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
100	862	582	John	Sheffield	Houston	12/14/1992	77079    	45 Belleview Drive	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
500	868	703	Felicia	Kuo	Cambridge	01/10/1993	02140    	79 Oak Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
300	879	1293	Kristen	Coe	West Roxbury	01/16/1993	02132    	30 Rainbow Road	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
400	888	1576	Doug	Charlton	Concord	03/10/1993	01742    	57 Webster Street	N	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	902	129	Judy	Snow	Marblehead	04/01/1993	01945	12 Fountain Road	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	913	129	Ken	Martel	Needham	04/16/1993	02192    	23 Lincoln Street	N	Y	01/01/2000 10:10:10	45.3300	10:10:10
500	921	703	Charles	Crowley	Belmont	04/22/1993	02178    	421 Beacon Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	930	129	Ann	Taylor	Atlanta	05/08/1993	30339    	25 Westminster Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
200	949	129	Pamela	Savarino	Long Beach	05/08/1993	90806    	112 Beach Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
100	958	582	Thomas	Sisson	Houston	07/16/1993	77079    	54 School Street	Y	Y	01/01/2000 10:10:10	45.3300	10:10:10
